"site","country","longitude","latitude","species","count","genus","binomial","plant_height","seed_mass","sla","wood_density"
26751925,"Portugal",2675000,1925000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26751935,"Portugal",2675000,1935000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26751955,"Portugal",2675000,1955000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26751965,"Portugal",2675000,1965000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26751975,"Portugal",2675000,1975000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26751985,"Portugal",2675000,1985000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26752005,"Portugal",2675000,2005000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26752015,"Portugal",2675000,2015000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26752015,"Portugal",2675000,2015000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26851775,"Portugal",2685000,1775000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851775,"Portugal",2685000,1775000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26851785,"Portugal",2685000,1785000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851785,"Portugal",2685000,1785000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26851795,"Portugal",2685000,1795000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851795,"Portugal",2685000,1795000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26851805,"Portugal",2685000,1805000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851805,"Portugal",2685000,1805000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26851815,"Portugal",2685000,1815000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851855,"Portugal",2685000,1855000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851865,"Portugal",2685000,1865000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851865,"Portugal",2685000,1865000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26851875,"Portugal",2685000,1875000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851895,"Portugal",2685000,1895000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26851975,"Portugal",2685000,1975000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851985,"Portugal",2685000,1985000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851985,"Portugal",2685000,1985000,"PAVI",1,"Prunus","Prunus avium",18.904,214.494461538462,13.1665901410417,0.55173982851446
26851995,"Portugal",2685000,1995000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26851995,"Portugal",2685000,1995000,"PAVI",1,"Prunus","Prunus avium",18.904,214.494461538462,13.1665901410417,0.55173982851446
26851995,"Portugal",2685000,1995000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26852005,"Portugal",2685000,2005000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26852025,"Portugal",2685000,2025000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951755,"Portugal",2695000,1755000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951765,"Portugal",2695000,1765000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26951775,"Portugal",2695000,1775000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26951785,"Portugal",2695000,1785000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951785,"Portugal",2695000,1785000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26951795,"Portugal",2695000,1795000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951855,"Portugal",2695000,1855000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951865,"Portugal",2695000,1865000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951865,"Portugal",2695000,1865000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26951875,"Portugal",2695000,1875000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951875,"Portugal",2695000,1875000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26951885,"Portugal",2695000,1885000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26951905,"Portugal",2695000,1905000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951915,"Portugal",2695000,1915000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26951925,"Portugal",2695000,1925000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951965,"Portugal",2695000,1965000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
26951985,"Portugal",2695000,1985000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26951995,"Portugal",2695000,1995000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26952005,"Portugal",2695000,2005000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26952015,"Portugal",2695000,2015000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
26952035,"Portugal",2695000,2035000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051765,"Portugal",2705000,1765000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27051775,"Portugal",2705000,1775000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27051785,"Portugal",2705000,1785000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051785,"Portugal",2705000,1785000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27051885,"Portugal",2705000,1885000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051885,"Portugal",2705000,1885000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27051895,"Portugal",2705000,1895000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051905,"Portugal",2705000,1905000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051905,"Portugal",2705000,1905000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27051915,"Portugal",2705000,1915000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051915,"Portugal",2705000,1915000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27051925,"Portugal",2705000,1925000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27051945,"Portugal",2705000,1945000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051945,"Portugal",2705000,1945000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27051975,"Portugal",2705000,1975000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051985,"Portugal",2705000,1985000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051995,"Portugal",2705000,1995000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27051995,"Portugal",2705000,1995000,"PAVI",1,"Prunus","Prunus avium",18.904,214.494461538462,13.1665901410417,0.55173982851446
27052005,"Portugal",2705000,2005000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27052015,"Portugal",2705000,2015000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27052015,"Portugal",2705000,2015000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27052035,"Portugal",2705000,2035000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27052055,"Portugal",2705000,2055000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151775,"Portugal",2715000,1775000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27151885,"Portugal",2715000,1885000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151895,"Portugal",2715000,1895000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151895,"Portugal",2715000,1895000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27151915,"Portugal",2715000,1915000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151915,"Portugal",2715000,1915000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27151925,"Portugal",2715000,1925000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151925,"Portugal",2715000,1925000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27151935,"Portugal",2715000,1935000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151945,"Portugal",2715000,1945000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151975,"Portugal",2715000,1975000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151985,"Portugal",2715000,1985000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27151995,"Portugal",2715000,1995000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27152005,"Portugal",2715000,2005000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27152015,"Portugal",2715000,2015000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27152025,"Portugal",2715000,2025000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27152035,"Portugal",2715000,2035000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27152045,"Portugal",2715000,2045000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27152055,"Portugal",2715000,2055000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27251735,"Portugal",2725000,1735000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27251745,"Portugal",2725000,1745000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27251755,"Portugal",2725000,1755000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27251755,"Portugal",2725000,1755000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27251765,"Portugal",2725000,1765000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27251775,"Portugal",2725000,1775000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27251795,"Portugal",2725000,1795000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27251865,"Portugal",2725000,1865000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27251875,"Portugal",2725000,1875000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27251875,"Portugal",2725000,1875000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
27251895,"Portugal",2725000,1895000,"CMON",1,"Crataegus","Crataegus monogyna",6.87147619047619,110.451420223222,11.7785199958924,0.47819811777762
27251895,"Portugal",2725000,1895000,"PBOU",1,"Pyrus","Pyrus bourgaeana",10,29.5,9.87510303840766,0.52
